"filename", "language", "C#", "JavaScript", "Markdown", "CSS", "JSON", "XML", "Razor", "Properties", "comment", "blank", "total"
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\appsettings.production.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\libman.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\tailwind.extension.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\SoftWhatsAppCRMDash.styles.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 3, 9, 50
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\css\input.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\css\input.output.css", "CSS", 0, 0, 0, 1365, 0, 0, 0, 0, 167, 367, 1899
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\css\output.css", "CSS", 0, 0, 0, 1341, 0, 0, 0, 0, 167, 362, 1870
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\js\const.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\js\crm\crm.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\js\crm\index.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 2, 28, 197
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\lib\flowbite\flowbite.css", "CSS", 0, 0, 0, 8405, 0, 0, 0, 0, 122, 1029, 9556
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\lib\flowbite\flowbite.js", "JavaScript", 0, 7255, 0, 0, 0, 0, 0, 0, 635, 652, 8542
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\lib\flowbite\flowbite.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\lib\flowbite\flowbite.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\wwwroot\lib\flowbite\flowbite.phoenix.js", "JavaScript", 0, 7267, 0, 0, 0, 0, 0, 0, 634, 648, 8549
